name,role,base_ovr,batting_ovr,bowling_ovr,is_overseas,age,batting_hand,bowling_hand,batting_archetype,bowling_phase,bowling_type,strengths,weaknesses
Mitchell Starc,Bowler (Fast),91,28,91,True,35,Left,Left,Defensive Tailender,New Ball,Left-arm Fast,Lethal left-arm pace with swing and bounce in early overs plus the ability to take key powerplay wickets,Expensive with the death ball and batting provides only minimal contribution
Bhuvneshwar Kumar,Bowler (Fast),91,24,91,False,36,Right,Right,Defensive Tailender,New Ball,Right-arm Swing,Elite swing bowler with exceptional economy throughout IPL career and ability to take wickets in powerplay,Pace has declined with age making him less effective against aggressive batters on flat tracks
Arshdeep Singh,Bowler (Fast),91,15,91,False,27,Left,Left,Defensive Tailender,Death Overs,Left-arm Fast,India's best death-over bowler with excellent yorker execution and left-arm angle against right-handers,Can be hit for runs in middle overs and batting is negligible
Trent Boult,Bowler (Fast),91,14,91,True,36,Right,Left,Defensive Tailender,New Ball,Left-arm Swing,Masterful left-arm swing bowler who generates early wickets with movement and consistent new-ball control,Minimal batting value and can be expensive against aggressive batters in power surges
Josh Hazlewood,Bowler (Fast),91,12,91,True,35,Right,Right,Defensive Tailender,New Ball,Right-arm Swing,Accurate right-arm seamer with exceptional economy and ability to take wickets with minimal risk,Batting is negligible and he struggles when pitches offer little assistance
Abhishek Sharma,All-Rounder,90,90,65,False,25,Left,Left,Aggressive Opener,Flexible,Left-arm Medium,Explosive left-hand opener who scores at 190+ SR in powerplay with useful part-time left-arm medium,Bowling economy can spike when targeted and he can be vulnerable to tight lines across off-stump
Yuzvendra Chahal,Bowler (Spin),90,11,90,False,35,Right,Right,Defensive Tailender,Middle Overs,Leg-spin,India's most prolific IPL spinner with leg-spin and googlies that generate wickets in the middle overs,Batting is near-negligible and can be very expensive when batters decide to attack him
Cameron Green,All-Rounder,89,89,74,True,26,Right,Right,Aggressive Opener,Flexible,Right-arm Medium,Powerful right-hand bat with high-impact IPL seasons and useful medium-pace that adds genuine variety,Injury history has interrupted IPL availability and batting can be inconsistent when not in touch
Rinku Singh,Batsman,89,89,15,False,27,Left,Right,Finisher,Part-time,None,Sensational death-over hitter famous for hitting five sixes off the last over who specialises in T20 chases,Batting position late in the order means limited balls and high-pressure situations create variance
Phil Salt,Wicketkeeper,89,89,10,True,29,Right,None,Aggressive Opener,Part-time,None,Explosive right-hand keeper-opener who scores at high strike rate in powerplay with aggressive intent,Can be dismissed cheaply when bowlers hit good lengths early before he is set
Riyan Parag,All-Rounder,89,88,72,False,24,Right,Right,Middle-over Rotator,Flexible,Right-arm Medium,Matured Rajasthan Royals batter with increasing responsibility and useful medium-pace contribution,Bowling economy can be high in death overs and batting consistency needs to develop further
Jofra Archer,Bowler (Fast),89,34,89,True,30,Right,Right,Lower-order Hitter,Death Overs,Right-arm Fast,Elite pace bowler with IPL-proven death-over wicket-taking ability and aggressive lower-order batting,Injury history makes him a fitness risk and he can leak runs when batting conditions are flat
Mohammed Shami,Bowler (Fast),89,16,89,False,35,Right,Right,Defensive Tailender,New Ball,Right-arm Swing,One of India's finest seam bowlers with exceptional swing and ability to deliver quality spells in all conditions,Batting provides minimal contribution and injury management required at this stage of career
Varun Chakravarthy,Bowler (Spin),89,11,89,False,34,Right,Right,Defensive Tailender,Middle Overs,Mystery Spin,Mystery spinner with extreme variation and undecipherable deliveries that trouble world-class batters,Batting is minimal and batters who study him heavily can pick the variations over time
Matheesha Pathirana,Bowler (Fast),89,11,89,True,23,Right,Right,Defensive Tailender,Death Overs,Right-arm Variations,Slingy right-arm action generates extreme pace off a short run-up making him very difficult to pick at death,Batting negligible and he can be expensive when rhythm deserts him on good batting surfaces
Mitchell Marsh,All-Rounder,88,88,75,True,33,Right,Right,Aggressive Opener,Flexible,Right-arm Medium,IPL 2026 leading run-scorer and top-order powerhouse who bats aggressively and contributes genuine medium-pace allotment,Fitness across a long season remains a question and bowling workload is limited
Tristan Stubbs,Wicketkeeper,88,88,35,True,25,Right,Right,Finisher,Part-time,None,Powerful South African finisher-keeper who attacks spin and pace and has shown quality IPL finishing,Sample size developing and high-risk batting style creates variance in short cameo roles
Ishan Kishan,Wicketkeeper,88,88,10,False,27,Left,None,Aggressive Opener,Part-time,None,Explosive left-hand opener who punishes bad balls early and scored 602 runs in 2026 IPL at 182 SR,Inconsistency and vulnerability to tight lines and lengths can bring low scores in clutch games
Dhruv Jurel,Wicketkeeper,88,88,10,False,25,Right,None,Middle-over Rotator,Part-time,None,Technically sound keeper-batter who has shown excellent middle-order adaptability and IPL maturity,Power game still developing and he is less effective against high-quality pace in the death overs
Liam Livingstone,All-Rounder,88,86,76,True,32,Right,Right,Finisher,Flexible,Leg-spin,Powerful right-hand batter who uses both pace and leg-spin variation to contribute in all phases,Inconsistency against tight lines means explosive matches alternate with low-scoring failures
Wanindu Hasaranga,All-Rounder,88,74,88,True,28,Right,Right,Lower-order Hitter,Middle Overs,Leg-spin,Sri Lanka's finest T20 leg-spinner with genuine wicket-taking ability and useful lower-order contribution,Economy can be high in T20s and batting is limited to short lower-order cameos
Noor Ahmad,Bowler (Spin),88,15,88,True,21,Left,Left,Defensive Tailender,Middle Overs,Left-arm Wrist Spin,Young Afghan left-arm wrist-spinner whose variety and deception make him tough to read in T20 cricket,Batting limited and can be expensive when set batters use the sweep and ramp effectively
Mohammed Siraj,Bowler (Fast),88,13,88,False,31,Right,Right,Defensive Tailender,New Ball,Right-arm Fast,Aggressive right-arm seamer who generates pace and bounce and creates wickets through raw intensity,Economy can suffer at death and batting provides only minimal value
Shivam Dube,All-Rounder,87,87,68,False,32,Left,Right,Middle-over Rotator,Flexible,Right-arm Medium,Hard-hitting left-hand batter who is particularly dangerous against pace and has high six-hitting volume,Right-arm medium-pace is not reliable against quality batters and can be taken apart
Finn Allen,Wicketkeeper,87,87,20,True,26,Right,None,Aggressive Opener,Part-time,None,Fearless explosive opener who attacks from ball one and scored a century at 214 SR in 2026 IPL,High-risk approach means inconsistency and he can be dismissed cheaply in difficult conditions
Shimron Hetmyer,Batsman,87,87,10,True,28,Left,None,Finisher,Part-time,None,Left-hand power-finisher who scores crucial boundary-heavy contributions at the death for Rajasthan Royals,Runs hot and cold and low delivery count means big matches are separated by quiet innings
Rajat Patidar,Batsman,87,87,10,False,32,Right,Right,Aggressive Opener,Part-time,None,Aggressive right-hand top-order batter who scored at 192 SR in 2026 IPL with exceptional six-hitting ability,Can struggle against quality spin in the middle overs if not scoring freely from the start
Jitesh Sharma,Wicketkeeper,87,87,10,False,32,Right,None,Finisher,Part-time,None,Explosive keeper-finisher who attacks spin and pace in the slog overs with outstanding six-hitting ability,High-variance role means limited deliveries create unpredictable output game to game
Devdutt Padikkal,Batsman,87,87,10,False,25,Left,None,Anchor,Part-time,None,Consistent left-hand opener with strong IPL record across multiple seasons and excellent technique,Strike rate in powerplay can be conservative when compared with modern T20 openers
Marcus Stoinis,All-Rounder,87,85,74,True,36,Right,Right,Finisher,Flexible,Right-arm Medium,Hard-hitting Australian all-rounder who contributes both as a finisher and with medium-pace variety,Age and form can be inconsistent and he is more batting-first than a genuine bowling threat
Mayank Yadav,Bowler (Fast),87,11,87,False,23,Right,Right,Defensive Tailender,New Ball,Right-arm Fast,One of the fastest bowlers in T20 cricket with 155+ kph pace that generates unplayable deliveries at times,Injury management has limited him and batting is minimal while pace alone cannot guarantee consistent economy
Quinton de Kock,Wicketkeeper,86,86,10,True,33,Left,None,Aggressive Opener,Part-time,None,World-class left-hand opener who provides outstanding powerplay hitting and has a brilliant IPL record,Inconsistency can mean patches of low scores and availability is now reduced given semi-retirement choices
Jonny Bairstow,Wicketkeeper,86,86,10,True,36,Right,None,Aggressive Opener,Part-time,None,Attacking right-hand keeper-opener who scores at high rates and has a strong record in IPL powerplays,Age and injury history are increasing risk factors for sustained IPL availability
Devon Conway,Wicketkeeper,86,86,10,True,34,Left,None,Anchor,Part-time,None,Technically excellent left-hand opener who builds innings efficiently with consistent strike rotation,Not a power-hitter and may be exposed in slog overs when acceleration is needed rapidly
Tilak Varma,All-Rounder,86,85,60,False,23,Left,Right,Middle-over Rotator,Part-time,Right-arm Medium,Elegant left-hand batter with mature T20 game and useful part-time medium-pace contribution,Bowling is supplementary rather than frontline and batting needs to develop more power in final overs
Ravi Bishnoi,Bowler (Spin),86,14,86,False,25,Right,Right,Defensive Tailender,Middle Overs,Leg-spin,India's best young leg-spinner with sharp googly and excellent wicket-taking record in IPL middle overs,Batting negligible and economy can spike when experienced batters pick his variations
T Natarajan,Bowler (Fast),86,11,86,False,35,Left,Left,Defensive Tailender,Death Overs,Left-arm Medium,Reliable death-over specialist whose yorker accuracy and left-arm angle is effective against right-handers,Not a genuine wicket-taker in early overs and batting contribution is negligible
Priyansh Arya,Batsman,85,85,10,False,25,Right,None,Aggressive Opener,Part-time,None,Explosive powerplay batter who scored at over 211 SR in 2026 IPL with outstanding boundary-hitting ability,Sample size is developing and quality pace bowlers with pace and movement can trouble him early
Prabhsimran Singh,Wicketkeeper,85,85,10,False,25,Right,None,Aggressive Opener,Part-time,None,Exciting young keeper-opener who scored heavily in 2026 IPL with impressive powerplay aggression,Consistency needs to improve across full season and vulnerability to bounce can create dismissals
Venkatesh Iyer,All-Rounder,85,84,52,False,31,Left,Right,Aggressive Opener,Part-time,Right-arm Medium,Attacking left-hand top-order bat with match-winning IPL performances and useful medium-pace contribution,Bowling is not reliable against strong batting lineups and consistency can be a weakness
Nitish Kumar Reddy,All-Rounder,85,83,76,False,22,Right,Right,Finisher,Flexible,Right-arm Medium,Highly promising young all-rounder with SRH who contributes with both bat and ball across phases,Youth means consistency is still developing and the all-round demands create role pressure
Will Jacks,All-Rounder,84,84,66,True,26,Right,Right,Aggressive Opener,Flexible,Right-arm Offbreak,Explosive right-hand bat who attacks from ball one and offers reliable off-spin variation across phases,Spin bowling can be hit when conditions are flat and batting success is front-loaded
Ayush Badoni,Batsman,84,84,45,False,26,Right,Right,Middle-over Rotator,Part-time,None,Reliable middle-order LSG batter with excellent IPL numbers across multiple seasons and good tempo control,Power ceiling below the very best T20 finishers and tends to be more accumulator than destroyer
Dewald Brevis,Batsman,84,84,30,True,23,Right,Right,Aggressive Opener,Part-time,None,Young South African power-hitter who scores at outstanding strike rates when in form for CSK,Sample size is still growing and quality fast-bowling spells in early overs can expose his technique
Vaibhav Sooryavanshi,Batsman,84,84,10,False,14,Left,None,Aggressive Opener,Part-time,None,Extraordinary teenage left-hand opener who led 2026 IPL batting with 776 runs at 237 SR,Very small senior sample at 14 means large risk premium and sustainability of this output is unknown
Kartik Sharma,Wicketkeeper,84,84,10,False,19,Right,None,Middle-over Rotator,Part-time,None,Talented young CSK keeper-batter with promising temperament and several mature innings in 2026,Teenage profile means limited experience and bowling remains unavailable
David Miller,Batsman,84,84,10,True,36,Left,None,Finisher,Part-time,None,World-class left-hand finisher with a brilliant career T20 record and consistent IPL run production,At 36 availability is reducing and he is most valuable against pace rather than quality spin in final overs
Ajinkya Rahane,Batsman,84,84,10,False,38,Right,Right,Anchor,Part-time,None,Technically accomplished right-hand opener who had a strong 2026 IPL season anchoring the KKR top order,Age means physical output is declining and strike rate is conservative by modern power-hitting standards
Rachin Ravindra,All-Rounder,84,83,74,True,26,Left,Left,Aggressive Opener,Flexible,Left-arm Medium,Aggressive left-hand opener who can provide left-arm seam variation across phases with genuine all-round value,IPL record is developing and bowling is supplementary rather than match-winning
Washington Sundar,All-Rounder,84,78,84,False,26,Left,Right,Middle-over Rotator,New Ball,Right-arm Offbreak,Powerful right-arm off-spinner with exceptional economy and genuine left-hand middle-order batting contribution,Not a major wicket-taker at T20 level and batting role is position-dependent
Sam Curran,All-Rounder,84,78,82,True,27,Left,Left,Lower-order Hitter,Flexible,Left-arm Medium,IPL-proven left-arm seamer and reliable lower-order hitter who provides real match-winning all-round value,Not always explosive enough at the very end of innings and pace can be matched by good batters
Marco Jansen,All-Rounder,84,65,83,True,25,Right,Left,Lower-order Hitter,Flexible,Left-arm Medium,Tall left-arm seamer who generates steep bounce and has strong international credentials as a bowling all-rounder,IPL batting yet to consistently deliver and economy can suffer at death overs
Harshal Patel,All-Rounder,84,50,84,False,35,Right,Right,Lower-order Hitter,Death Overs,Right-arm Variations,Death-over specialist with exceptional slower-ball variations who has been one of IPL's most consistent wicket-takers,Batting is low-down and pace is not high enough to be effective when conditions suit fast bowlers
Harshit Rana,Bowler (Fast),84,35,83,False,24,Right,Right,Defensive Tailender,New Ball,Right-arm Fast,Rapid young right-arm pacer who generates genuine pace and swing and has shown strong early IPL seasons,Still young and consistency is developing across the full powerplay allotment
Gerald Coetzee,Bowler (Fast),84,24,84,True,25,Right,Right,Defensive Tailender,Death Overs,Right-arm Fast,Genuinely rapid South African with exceptional IPL pace and ability to take wickets in death overs,Can be expensive when batters get after him and batting is a minor contribution
Mujeeb Ur Rahman,Bowler (Spin),84,20,84,True,26,Right,Right,Defensive Tailender,New Ball,Mystery Spin,Afghan mystery spinner with unorthodox action and ability to take powerplay wickets that is rare for a spinner,Batting contributes nothing and batters who study him carefully can pick the variations
Maheesh Theekshana,Bowler (Spin),84,18,84,True,25,Right,Right,Defensive Tailender,New Ball,Mystery Spin,Sri Lankan mystery spinner with unusual action who generates wickets in the powerplay and middle overs,Batting is negligible and experienced batters who premeditate can be effective against him
Anrich Nortje,Bowler (Fast),84,16,84,True,31,Right,Right,Defensive Tailender,Death Overs,Right-arm Fast,Among the fastest bowlers on the IPL circuit with 150+ kph pace generating genuine throat balls,Can be expensive when injured or off-rhythm and batting is minimal
Kagiso Rabada,Bowler (Fast),84,15,84,True,30,Right,Right,Defensive Tailender,Death Overs,Right-arm Fast,World-class death bowler who was 2026 IPL leading wicket-taker and provides genuine match-winning pace,Economy can be high when attacking at death overs and batting is a minor contribution
Eshan Malinga,Bowler (Fast),84,14,84,True,24,Right,Right,Defensive Tailender,Death Overs,Right-arm Fast,IPL 2026 breakout season death bowler who took 20 wickets with dangerous variations and steep bounce,Still developing consistency across a full campaign and economy can be uncertain under pressure
Avesh Khan,Bowler (Fast),84,13,84,False,29,Right,Right,Defensive Tailender,New Ball,Right-arm Fast,Aggressive new-ball bowler whose pace and bounce generate wickets in the powerplay with consistent quality,Can be expensive in death overs and batting is minimal contribution to the team
Mukesh Kumar,Bowler (Fast),84,12,84,False,32,Right,Right,Defensive Tailender,New Ball,Right-arm Fast,Swing bowler who generates early movement and has built a consistent new-ball IPL career,Death bowling can be expensive and batting is minimal
Mustafizur Rahman,Bowler (Fast),84,11,84,True,30,Left,Left,Defensive Tailender,New Ball,Left-arm Variations,Bangladesh's finest death and powerplay bowler with cutters and sliders that are very effective in T20,Batting limited and experienced batters familiar with his slower balls can expose the variations
Daryl Mitchell,All-Rounder,83,83,58,True,34,Right,Right,Middle-over Rotator,Part-time,Right-arm Medium,New Zealand's reliable T20 middle-order performer with useful part-time medium-pace and match awareness,Bowling is supplementary and batting consistency below the very best overseas batters
Rishabh Pant,Wicketkeeper,83,83,12,False,28,Left,None,Aggressive Opener,Part-time,None,Brilliant aggressive left-hand keeper-batter whose post-injury return makes him an exciting IPL player,Post-injury return means fitness and form will need monitoring across a full campaign
Pathum Nissanka,Batsman,83,83,10,True,28,Right,None,Anchor,Part-time,None,Technically excellent Sri Lankan top-order batsman with consistent international record,IPL exposure has been limited and strike rate in the powerplay can be conservative
Josh Inglis,Wicketkeeper,83,83,10,True,31,Right,None,Middle-over Rotator,Part-time,None,Australian keeper-batter who scored heavily when given opportunity in 2026 IPL and provides excellent value,Sample size in the IPL is still small and role consistency within a team lineup needs establishing
Krunal Pandya,All-Rounder,83,76,80,False,34,Left,Left,Middle-over Rotator,Flexible,Left-arm Orthodox,Experienced T20 all-rounder with reliable left-arm spin economy and aggressive left-hand batting contribution,Not at his very best form levels and aging means the very high-impact seasons may be behind him
Jason Holder,All-Rounder,83,72,81,True,33,Right,Right,Lower-order Hitter,Flexible,Right-arm Medium,World-class IPL all-rounder who had exceptional 2026 season with economy and lower-order hitting,At 33 pace has reduced and he is more effective in conditions that assist seam rather than flat pitches
Deepak Chahar,Bowler (Fast),83,55,81,False,33,Right,Right,Defensive Tailender,New Ball,Right-arm Swing,India's best powerplay swinger who takes wickets upfront and can make useful lower-order contributions,Economy suffers if he cannot swing the ball and the batting ceiling is limited in crunch situations
Khaleel Ahmed,Bowler (Fast),83,11,83,False,28,Right,Left,Defensive Tailender,New Ball,Left-arm Fast,Left-arm seamer whose pace and angle create problems for right-hand openers in T20 powerplays,Can be expensive against aggressive batters and bowling with the old ball at death is not his strength
Aiden Markram,All-Rounder,82,82,55,True,31,Right,Right,Anchor,Part-time,Right-arm Offbreak,Stylish right-hand top-order batter with strong IPL run production and useful part-time off-spin,Bowling is supplementary rather than match-winning and can struggle against quality T20 attacks
Shashank Singh,Batsman,82,82,40,False,34,Right,Right,Finisher,Part-time,None,Powerful death-over right-hand batter who scored heavily for PBKS and specialises in late-innings carnage,High variance in short cameo role and can be dismissed cheaply when not connecting
Tim David,Batsman,82,82,30,True,30,Right,Right,Finisher,Part-time,None,Singapore's T20 designated hitter who scores at extraordinary strike rates in small windows at the death,Limited balls faced means very high variance and career IPL sample is small
Jake Fraser-McGurk,Batsman,82,82,12,True,24,Right,None,Aggressive Opener,Part-time,None,Aggressive young Australian opener who attacks from ball one with exceptional powerplay strike rate,Vulnerability to early movement and quality new-ball bowling before he is settled
Rahmanullah Gurbaz,Wicketkeeper,82,82,10,True,24,Right,None,Aggressive Opener,Part-time,None,Afghan keeper-opener with impressive white-ball record who attacks in powerplay with high intent,IPL experience is developing and consistency across a full season needed
Ben Duckett,Wicketkeeper,82,82,10,True,31,Left,None,Aggressive Opener,Part-time,None,Attacking left-hand top-order batter with high strike rate and excellent England white-ball record,IPL experience is limited and can be vulnerable to quality pace before he is set
Nitish Rana,All-Rounder,82,81,55,False,31,Left,Right,Aggressive Opener,Part-time,Right-arm Medium,Left-hand aggressive opener with a strong KKR career record and useful part-time medium-pace,Bowling is supplementary and form has been less dominant in recent IPL seasons
Azmatullah Omarzai,All-Rounder,82,76,81,True,26,Right,Right,Lower-order Hitter,New Ball,Right-arm Medium,Afghanistan's rising all-rounder who contributes powerful lower-order hitting and new-ball medium-pace options,IPL experience is still developing and not yet proven across a full demanding campaign
Mitchell Santner,All-Rounder,82,72,82,True,33,Left,Left,Lower-order Hitter,Middle Overs,Left-arm Orthodox,New Zealand's best T20 spinner with world-class control and reliable economy plus useful lower-order batting,Wicket-taking ceiling is lower than attacking wrist-spinners and batting is limited to short cameos
Auqib Dar,Bowler (Fast),82,24,82,False,24,Right,Right,Defensive Tailender,New Ball,Right-arm Fast,Young promising Kashmiri pacer who generates good pace and movement in the new-ball phase,Very limited IPL sample and consistency and economy need to be proven over multiple seasons
Matt Henry,Bowler (Fast),82,18,82,True,34,Right,Right,Defensive Tailender,New Ball,Right-arm Fast,New Zealand new-ball specialist with consistent T20 economy and ability to take powerplay wickets,Batting negligible and he becomes expensive if conditions do not assist seam movement
Prasidh Krishna,Bowler (Fast),82,11,82,False,30,Right,Right,Defensive Tailender,Death Overs,Right-arm Fast,Tall right-arm seamer with excellent bounce and a strong 2026 IPL wicket-taking campaign for GT,Can leak runs when targeting the stumps at death and batting provides no real value
Glenn Phillips,Wicketkeeper,81,81,42,True,29,Right,Right,Finisher,Part-time,Right-arm Offbreak,New Zealand keeper-batter who provides high strike rate hitting in the lower-middle order with part-time off-spin,IPL role and consistency have been limited and the all-round contribution needs more sustained output
Ramandeep Singh,All-Rounder,81,78,65,False,29,Right,Right,Finisher,Flexible,Right-arm Medium,Powerful KKR finisher with excellent death-over hitting and useful medium-pace contribution for the side,Bowling is not reliable against top batters and consistency in finishing role needs development
Mangesh Yadav,All-Rounder,81,75,76,False,24,Right,Right,Lower-order Hitter,Flexible,Right-arm Medium,Young all-rounder with two-way value and developing T20 credentials across batting and bowling departments,Still building IPL experience and may lack the specialist quality needed in high-pressure moments
Auqib Nabi,All-Rounder,81,72,75,False,25,Right,Right,Lower-order Hitter,Flexible,Right-arm Medium,Developing domestic all-rounder with two-way potential who has shown flashes of quality in limited IPL outings,Yet to establish consistent first-team role and specialist quality in both departments needs proving
Akeal Hosein,Bowler (Spin),81,60,81,True,33,Left,Left,Lower-order Hitter,New Ball,Left-arm Orthodox,West Indian left-arm spinner with excellent control and powerplay wicket-taking ability plus useful hitting,Economy can suffer against aggressive batters and batting is cameo-only in nature
Sai Kishore,Bowler (Spin),81,48,81,False,29,Left,Left,Defensive Tailender,Middle Overs,Left-arm Orthodox,Accurate left-arm spinner with outstanding domestic and IPL economy who strangles scoring in the middle overs,Not a high wicket-taker against quality batters and batting contribution is minimal
Rahul Chahar,Bowler (Spin),81,22,81,False,26,Right,Right,Defensive Tailender,Middle Overs,Leg-spin,Indian leg-spinner with googly variation and solid IPL middle-over wicket-taking record,Batting is minimal and can be hit by set batters who read the googly early
Prince Yadav,Bowler (Fast),81,16,81,False,29,Right,Right,Defensive Tailender,Death Overs,Right-arm Fast,IPL 2026 breakout death-over bowler with 16 wickets showing genuine pace and attacking lengths,Needs more seasons of consistent performance before elite rating can be confirmed
Nathan Ellis,Bowler (Fast),81,16,81,True,31,Right,Right,Defensive Tailender,Death Overs,Right-arm Variations,Australian death-over specialist with effective slower-ball variations and good IPL track record,Economy at death can be high and batting is negligible in team contribution
Mohsin Khan,Bowler (Fast),81,14,81,False,27,Left,Left,Defensive Tailender,Flexible,Left-arm Fast,Young left-arm quick with excellent pace and the ability to bowl in all phases including death overs,Availability has been limited and sustained workload consistency needed across a full IPL season
Kamindu Mendis,All-Rounder,80,80,64,True,27,Left,Both,Middle-over Rotator,Flexible,Right-arm Offbreak,Versatile ambidextrous spinner and quality left-hand batter who contributes in both departments,Still building IPL reputation and may lack the standout skill that dominates T20 matches
Abdul Samad,All-Rounder,80,80,46,False,23,Right,Right,Finisher,Part-time,Right-arm Medium,Hard-hitting right-hand finisher from J&K with excellent power-hitting record and improving consistency,Batting position deep in the order limits balls faced and bowling is occasional
Ashutosh Sharma,Batsman,80,80,20,False,27,Right,Right,Finisher,Part-time,None,Explosive death-over right-hand batter who scores at high strike rates against pace and spin when set,Sample of high-pressure innings is still growing and consistency across a full campaign needed
Ayush Mhatre,Batsman,80,80,12,False,18,Right,Right,Aggressive Opener,Part-time,None,Extraordinary young CSK batter who scored 240 runs in 7 matches at 188 SR including a 94 in 2025,Teenage profile with very small sample means sustainability and handling quality T20 bowling is unknown
Ryan Rickelton,Wicketkeeper,80,80,10,True,29,Left,None,Aggressive Opener,Part-time,None,South African left-hand keeper-opener who scored 448 runs for MI in 2026 including a century,IPL experience is still limited and consistency across a full demanding campaign needs confirming
